,application,transcript
10,2023_Rice_vqUVxbD2NLA.mp3," I am Shia from Active Services and we are reimagining solar. Who here has seen a solar panel? they are around yay big, weigh 50 to 60 pounds, and they are in case and thick glass. Why? they are heavy and flexible, because silicon is a ceramic and it's fragile. But what if you thought about solar differently? What if you could put solar on any surface and make it active? That's what we do. Our MIT developed technology makes solar panels 120 times lighter. they are thinner than a human hair. Our B-Chead Market of Criminal Social Ware Housing only has 3% of rooftop PV today. That's $300 billion in market potential just because it can't handle the weight of solar. Our team is the one to unlock this capability. We are coming from MIT. We have industry leading advisors, we are a part of the best climate take accelerators in the program. And we have industry researchers helping us. If you can envision a future, or any surface is active, then join us."
11,2023_Rice_eM7wq-zFHbI.mp3," Good evening. This is Jack. Check out cancer after jaw. Surgeons have to remove it and replace it with a bone transplant from his leg. Today this is largely done by estimation and gut feeling. Would you want that? No. Neither would hundreds of thousands of patients who undergo cancer and accident surgeries every year. We believe they deserve precision and accuracy. I am Thomas co-founder of Inzipia from Arthur Germany. Our pattern and system for surgical planning uses our state-of-the-art AI technology. Preclinic studies have shown our solution can make surgical planning 90% faster and 50% cheaper than today's procedures. While improving patient outcomes, we are here to raise $3 million to get FDA approval and take our product into the clinics. We are Inzipia and we are shaping the future of surgical planning."
12,2023_Rice_yWUMTVJqlHw.mp3," There are over 100 million dogs who suffer from food allergies. Chicken and beef are the two most common allergens. Yet unfortunately, they are the most prevalent ingredients found in our pets food, which leads to one-third of the livestock industry being used to feed our pets, which creates a huge impact on the environment. Large pet food uses insect protein, which is hypoallergenic, sustainable, and more nutritious than chicken or beef. We have the first functional, sustainable treat on the market, and with our pet and pending hypoallergenic food, we also have the pet and pending hypoallergenic food made with insects. Sorry, lost entrance author. Pet food market is expected to double over the course of the next 10 years. Our early investors, Ushakago and tech stars are bugging out about our potential. We invite you to join us as we look to bridge the gap and build a cleaner future for thinking proteins and a happier pop. Thank you."
13,2023_Rice_iyps_vov3mw.mp3," Hi, I am Connor Crawford, CEO and co-founder of PICRA Botox. PICRA spun at a UT Austin and originally funded by Philips to see six to help with the real need they have for maintaining their product storage and refining facilities. There are 170,000 petrochemical storage tanks which use floating roots to sit atop liquid fuel. These tanks require regular safety and emissions inspections, but there are significant concerns with the current method, including safety of human crews in the financial cost of taking a tank offline. To address these problems, PICRA developed an autonomous explosion proof while climbing a robot equipped with a state of the yard sensor suite. This robot produces the same result that a human crew does but does the job faster and to a higher level of accuracy. Our business model is robots as a service, we build a customer on a recurring basis after each inspection visit to a tank site. We have two pending utility patents. We perform three demos with potential customers and we are recently contacted by Shell Game Changer about setting up a pilot study at their Deer Park refinery. we are raising a $650,000 pre-seat of which we've already closed 345,000 in large part to a national science foundation SBIR phase 1 grant. we are PICRA Botox and we are transforming inspection of energy facilities with robotics. Thank you."
14,2023_Rice_c663zRDypsA.mp3," Hi, before I get started, can I have everyone take a deep breath? Thank you. My name is Javanace Santos and I am the CEO and co-founder of Myloa Health. Myloa Health is an ad-powered care coordination service that detects and manages the risk of pregnancy related complications. We are a B2B SaaS company that charges a licensing fee on an allied health professional basis to decrease costs and improve outcomes for health plans, risk-bearing providers and community-based organizations. We have the earliest risk detection of maternal depression on the market. We can predict depression in the postpartum period as early as the first trimester at a 94% accuracy level. Our models power our provider dashboard and our SMS and mobile application that we give to moms. We raised $648,000 for VC backed and also most notably were backed by NIH. We will be the first downward trend in maternal mortality rate that this nation has ever experienced and I hope that you want to join us. We are raising $2 million on a safe and if you are interested please see me after. Thank you so much. Thank you."
15,2023_Rice_h8GJpSCt6uk.mp3," Signes Solutions is focused on solving a $200 billion problem, eliminating PFAS or toxic forever chemicals. PFAS is linked to serious health issues including cancer, is in our water and new sources are found daily. Odds are U and I have PFAS in our blood, 99% of Americans do. I am Dana, I am the Chief Commercial Officer and co-founder at Signes Solutions where our mission is to forever eliminate forever chemicals. Current solutions remove PFAS, but they leave costly hazardous waste. With upcoming federal regulation, Signes is ready to be the breakthrough technology to eliminate this problem. Our product permanently destroys PFAS using light and purgon, our patent pending material that is non-toxic, reusable and scalable. We remove liability and we bring decreased costs to our customers. We are looking forward to our pilot, the small, amyere seeking funding and key partners to support us in this journey. Join us at Signes Solutions as we forever eliminate forever chemicals. Thank you."
16,2023_Rice_v1aqCAAg2I4.mp3," You know when you get in your car, the first thing that you need to do before you get it to move is you've got to put it in gear. Here's your everywhere from aircraft to submarines to medical devices and whether you are in a harsh environment or in an everyday environment, you need a gear that never fails. Hi, my name is Brighton, I got my PhD in electrical engineering nine and a half hours ago. Hello. On the founder and CEO of FlexWorks and we are putting a new spin on this fundamental technology. Our protected magnetic year technology offers contactless lubrication free self-healing properties and it has physically demonstrated over 99% efficiency and four times quieter operation. It offers unprecedented reliability from outer space to under the seat to even inside the human body. While our hub zone certified venture has unique defense and space commercialization opportunities, we also already have commercial contracts and automotive and aviation. With your help, we hope to commercialize this premium gear solution. Thank you."
17,2023_Rice_z1vrpbHQAuU.mp3," Hi, I am Angela. I am a third year medical student and in the next two years I am going to have to decide what kind of doctor I want to be for the rest of my life. There is a lot to do. There is not a lot of time to do it and there is no centralized tooling to help me make it happen. School administrators also struggle to support students through this chaos and as a result 20% of medical students don't get into residency Meaning they cannot practice medicine in the United States. So this is why we made Vivicaali a platform that consolidates the innumerable tool students are currently forced to use and Organize the student obligations all in one place. Vivicaali simplifies the most disorderly yet critical years of medical school. Students get a big picture of you while administrators get to student data insights into what they are doing so everyone gets to focus on what matters like getting into residency. We have widespread support back home at Penn and we plan on launching there this winter. We hope you'll join us for the journey. Thank you so much."
18,2023_Rice_vew0cRA-qSs.mp3," Good evening. Every day, our planet generates 200 empiced state buildings of garbage. Every year, we throw away materials that are potentially worth $450 billion while polluting a planet. We are trash-trap, riding to the rescue, returning the world's trash to cash. We are taking holistic approach to waste management, and we have six patentable technologies that allow all trash to be either recycled or reused. Nothing going into landfills reverse or oceans. All mixed waste is either segregated into recyclables or converted to value added products. We are seeking a seed investment of $2 million to build a commercial scale pilot plant of a sorting facility. Please join us in a quest for a cleaner and greener planet by converting the world's trash to cash. Thank you."
19,2023_Rice_ytNyn_Gtf_g.mp3," Marden 3000 board games are allowed every year, but can never reach the ordinary player. People still only know about Monopoly and Uno. Bordable is a mobile board game platform, created to improve awareness and accessibility of board games. For players, we offer a portfolio of different games that can be played online or in person. We have a TV mobile setting that is great for groups and doesn't require any other external device besides a smart TV and your phone. For publishers, we understand that marketing a board game is very expensive. And we are their new distribution channel and we are fast. In fact, we are creating a board game engine that we allow publishers to design, develop and launch their own board games on our platform without our help or programming skills. We have just reached a thousand weekly active users and we can't wait to get a hundred board games in your phone."
20,2023_Rice_YjrOj6NCbsE.mp3," Hi everyone, my name is Swarna and I am the founder of EnSmagable. You might notice that I am wearing glasses today, which is something I hate doing because they get smudged so frequently. That's why I am here with EnSmagable, a green permanent anti-smudge Ira Lens Coding for a lifetime of clear vision. Currently, all Ira has an olephobic or oil-fearing surface, meaning that every time you touch your lenses, the oil from your finger-singer face, clusters, causing the light to refract in a way that you cannot see through the smudge. EnSmagable's Coding allows the oil from your finger-singer face to spread, making your fingerprint invisible at all viewing angles. We operate on a B2B2C model where we license out our technology to lens manufacturers and we are spending over the last year developing our MVP coding and recently filed for a provisional patent application and we are currently seeking a pre-seed round of $800,000 to fund our lab space, expand our team and develop our product further also that we can help you and me see more clearly and smudge free. Thank you for your time."
21,2023_Rice_WgpwonmssfU.mp3," Hi, my name is Rick Adams. I am a commercial airline pilot. Did you know that 1 in 600 flights has a medical emergency on board? The current process is outdated. I am here to tell you that there's room for improvement. We currently, the flight attendant will page for a doctor or a nurse on board and usually there's not one. So they play an unreliable game of telephone to a doctor on the ground over to radios. Our product at Scali cuts through that noise. We give you direct face to face contact with the doctor from your seat. The flight crew does fewer distractions. You get better health care and your airlines can save money. Currently, the industry in the aviation market is $1 billion. If we expand other industries as $26 billion, like I said, I am a pilot. I've got a surgeon on my team. Health care IT expert. We've got a great team. We'd love to have a financial partner join us. Thank you."
22,2023_Rice_WCOb3qwBLZw.mp3," According to US Bank more than three out of four small businesses fail because they lack a well-developed marketing plan. So whose fault is this? Platforms like Google and their high advertising costs? Review sites like Yelp and their receptor practices. Or maybe just the business themselves. Or maybe it's your fault for not trying to restrain every time you see it on a billboard driving down the road. We realize that many great businesses get forgotten because there's not an effective way to market locally. Most of us want to take advantage of local promotions and deals, but the businesses struggle and getting the word to us. And that's because the best marketing doesn't come from the businesses themselves. It comes from the consumers, recommend them to their friends. But did you know that 98.5% of consumers don't leave reviews? This means that 15 people are influencing the decisions of 985. And the icing on the cake is that about a third of those reviews will be positive. Bluverse changes this by providing businesses as a space to show their local personality. We merge social media with their reviews and rewards. So now you'll have just one place and one app to interact with your favorite local businesses and save your hard earned dollars. Thank you."
23,2023_Rice_MBuizWTF4cU.mp3," Good afternoon, ladies and gentlemen. My name is Billah Al-Essifu, founder of Unchain Inc. We are a talent platform, specifically built for companies seeking to engage diverse early career professions. So I want you to imagine your campus recruiter who's eager about recruiting diverse talent. You currently spend your budget on career services and online's eye platforms. But the issue is 60% of students never visit career services of the 40% that do only 14% find it helpful. 75% of online resumes never make it to a recruiter. And amongst diverse candidates this disparity is higher because 6% of black professionals reported that they didn't secure an internship. 7.9% of Hispanic students have a secure to insert in comparison to 74% of white early career professionals. We built this platform to help employers connect with more high quality diverse candidates than other solutions. We do this through our hybrid recruiting model that pairs our platform with in-person engagements to deliver direct qualified candidates to companies that seek them. And only 2.5 years we reached over 15,000 early career professionals. We've worked with 14,500 companies and we've helped over 300 students get connected with corporations interested in them. At Unchain Inc, we make every day of career fair. Thank you."
24,2023_Rice_xIXruYEwrok.mp3," My name is Ashwin and I've been a digital marketer for 15 years across six countries. Over $330 billion are invested in digital advertising across North America on hundreds of social media platforms, 100 so digital platforms. The only problem is that each platform has their own way of measuring success. This industry lacks standardization. At a degree of insights, we are determined to change that. we are revolutionizing the digital advertising industry by offering common metrics to measure success across social platforms. It is based on our already patented technology. We conducted our first pilot with a Coca-Cola company and realized that the platform could save up to 20% in media spends with 80% more engaged users. we are building the product and seek $500,000 to bring it to market faster. Thank you."
25,2023_Rice_TqeQ74mUaxk.mp3," I woke up this morning to a text from my best friends. She's going to IPF and she's not responding normally. So her doctor has asked her to come in every single day to get her blood drawn to have her monitor. She's a patent attorney, doesn't really have time for that, and also doesn't feel very well while she's going through all this hormone treatment. And I unfortunately know what that's like. I could have avoided two major surgeries if my biomarkers could have been monitored at home after I got hit by a car on my bike. That's why I invented the D-A-D-Ice. My name's Lund Tilley, and we have a patent pending electrochemical non-invasive sensor. It works with sweat or saliva, and today we've already measured hormones, metabolites, neurotransmitters, and electrolytes. We have a team made of myself who I will graduate from Duke Business School actually this weekend. you are all welcome. Along with electrochemist and an engineer. If you want to come get a baseline of your hydration status before we start drinking that delicious wine, come see us. But you probably won't meet the Navy SEALs that I was drinking with these past three days at Soft Week. Cheers."
26,2023_Rice_kG5s6sRbvps.mp3," By show of hands, how many people here have spent a night sitting around a fire with family and friends? No need to raise your hand on this one, but think about it. How many of those nights ended early because it was too cold outside? The reality is, fires bring people together, but they don't necessarily keep you warm. Good evening, everybody. My name is Kevin Long, co-founder and CEO of Outmore Living. At Outmore, we believe time spent outdoors is time best spent. Yet 80% of consumers are dissatisfied with their outdoor living spaces claiming that outdoor furniture is too expensive for its seasonal usage. Outmore living is determined to change that. Born around a fire on a Chris Fall Knight, a simple off-hand comment I wish our seats were heated. Led to two-year journey that has culminated in odds launching the world's first battery-powered heated outdoor furniture. Our patent-pending technology and design will forever change the outdoor living industry. From backyards to rooftops, we are excited to be leading with our mission to help people connect and be out more. Thank you."
27,2023_Rice_-19FMHbcumo.mp3," All right, hello everyone. My name is Adi Metallum, a medical student at the University of Pittsburgh and co-founder of Astrobiocyntas. Traditional aneurysm diagnosis requires 5-7 people, dressed like me, and full OR tire, to conduct an invasive procedure that's not only traumatizing for the patient, but places a large hospital in on them. Now if aneurysm isn't monitored frequently enough, it can pop. Like the balloon, causing a catastrophic brain bleed. Now imagine where all of this invasive testing can be replaced by simple blood test. At Astrobiocyntas, we are developing a simple blood test that can be integrated into an existing laboratory. This blood test can be performed at the cost of 1% of the current standard of care, and it also provides a unique risk of rupture metric, which no other test on the market can provide. Seribal aneurysms have been diagnosed the same way for the past 20 years. Join me to stop the pop. Thank you."
28,2023_Rice_qKNa5TtOkyY.mp3," Did you know one animal leather bag requires 10,000 liters of water to produce in the carbon equivalent of charging 18,000 smartphones? Animal leather is unsustainable. So it's a good thing that this bag in front of me is actually made from banana crop waste. You heard that correctly. We at Atma leather have developed a novel technology to convert banana crop waste into a leather alternative that looks, feels and smells like animal leather. This material is vegan, sustainable, and cruelty free. It has a 95% reduction in water use and a 90% reduction in carbon emissions. Our material is called binofi, our banana fiber leather, and we are excited to be disrupting the 400 billion dollar leather industry across fashion, furniture, and automotives. I am Janali, the CEO of Atma leather, and together with the team of incredible people. Now growing team of 16 people, we are ready to disrupt these industries. Thank you."
29,2023_Rice_Sf8tmFgrFpM.mp3," Everyone, my name is Josh from GridLink and at GridLink we have built software that saves electric vehicle fleets millions of dollars per year in operational costs. In the next six or seven years the number of EVs on the road in the United States is expected to triple and many of the early adopters of EVs are large company service fleets. These large company service fleets are not used to managing EVs. All of a sudden they have to deal with variable pricing of electricity and demand charges when demand charges when they charge too many of their vehicles at one time. Our platform remotely controls and optimizes the charging schedules of an EV fleet to maximize vehicle availability and reduce charging costs by over 50%. We've been nationally recognized as a top grid-in-hand sick technology through Department of Energy, we are negotiating the terms of our first pilot program and this week we've opened our seed round. Our team is determined to help usher in the era of EVs and we'd love it if you joined us on the ride. Thank you."
30,2023_Rice_TExwcZP6Og4.mp3," Right now in the US there are 8 million infertile women which have difficulty getting pregnant or carrying a pregnancy to term. And the primary reason for this is that they have ovulatory dysfunction, meaning that they don't ovulate every month, but that they ovulate irregularly. This means for these women that they go through 12 months of extreme frustration, stress, and anxiety about starting a family. And what lies ahead is IVF, which is very expensive, time consuming, painful, has low chances of success, and it's oftentimes not covered by insurance. Fortunately for these women, they can confirm they've ovulated by measuring their blood progesterone levels, with very high accuracy and specificity. And there are a lot of tests on the market right now predicting when a woman will ovulate, but very few which actually confirm it. And this is why biosensate is setting out to make the mysens a reality. It's an at home quantitative and portable blood-based progesterone sensor. If you are excited about what we are doing, come talk to us tonight at our booth. Thanks."
31,2023_Rice_bHA_LYOSJSg.mp3," I have personally faced the impact of unclean drinking water. And over the years, I have also realized that the issues not so much water scarcity, but rather clean and water availability. A much bigger issue is the helplessness that this can bring about. In the US, as an example, 77 million people consume water from sources which violate safety standards and globally, this number runs into the billions. So therefore, at the top, we are building technology like this with wood filters inside to enable access to clean drinking water as a human right. Built over a decade at Harvard and MIT, these next generation water filters can take care of the chemicals, metals, lead and so on that other filters can take care of, but they can also take care of the bacteria, viruses and protozoa that get millions of people sick in the world across the earth. At the showcase, I invite you to come have a drink with us. I believe that everybody in this world deserves the right to clean drinking water and so in closing I ask a few of this. Who's with me?"
32,2023_Rice_uF4mMwTpoNw.mp3," How many of you hesitate to click on links in an email because you don't want to be taken out of your inbox. My name is Danny, co-founder and we do shopable emails. Did you know a typical e-commerce email has a 2% or less chance of turning into a sale? And yet, these emails make up 30% of total revenue for online stores. At Zemo, we use a combination of new technologies to bring the shopping experience from the website into the inbox. By creating marginal increases in conversion rates, we generate hundreds of thousands of dollars in additional revenue for online stores. There are 9.5 million online stores in the US and we expect our average contract value to be $10,000 a year. This product has been extremely easy to sell. We started building in January and already have eight live customers, including pattern, the largest e-commerce marketer in Utah. we are currently raising a pre-seed round and would love to talk with you after. Thank you. Thank you."
33,2023_Rice_pZYcOhcoxNY.mp3," There I was sitting on the floor and horror as I peeled a bloody sock off of my foot. That was me the very first time I broke in my leather boots. Now by a show of hands how many of you have ever got in a foot blister? I am a shorty of people in the room. A lot of the solutions online are to put band aids on, double up on your socks, or even tape your feet. But what's the easy solution that just takes a second? Shazasawks. Shazasawks are a unique foam padded, patent-pending technology sock that has a little foam layer sewn into the back of each sock to protect your foot and make sure that you never have to suffer again. We have gone viral on social media many times gaining over 27 million views across social media and this has given us 135,000 dollars in revenue in just launching in the last six months. We are patent-pending and we are planning to go on Shark Tank next year. Our gross margin is 77% and remember, next time you get a blister on the back of your heel, all you have to do is put on a Shazasawks. Thank you."
34,2023_Rice_HS_1BuwesJg.mp3," 750 million people globally are suffering from a thyroid related disorder. Outdated testing protocols and mismanages of their disorder are leaving patients suffering. And I am I. we are developing a wearable device that continuously monitors thyroid hormones. we are going to be using the patient simply put the sensing pad on the device and hear the device to the upper arm. Within minutes, their information is being streamed to an app and their phone. Our team of co-founders have a diverse background in business, science and engineering, and paired with our network of advisors, we are perfectly positioned to change the way thyroid health is managed. My our mission is to shift healthcare from reactive diagnostics to proactive monitoring. So please join us in transforming the industry from sick care to healthcare. Thank you."
35,2023_Rice_D8BWh1djQ9w.mp3," Every 15 minutes a baby is born actively with drawing from opioids. What this looks like is seizures, tremors, poor feeding and breathing, and it results in a two-week stay for that baby in the NICU and a $2.5 billion bird on the healthcare system every year. What if we could prevent that? At pediatric at their apudics, we are a drug development company that combines scientists and business professionals to develop a new drug that retains a therapeutic efficiency for the mother so she can go on opioid maintenance therapy while also reducing withdrawals in her babies. The current global opioid use disorder market is $1.5 billion. We are seeking $1.8 million to do risk our technology and give these babies a better chance at life. Thank you."
36,2023_Rice_DcV-sMMoUiQ.mp3," To reach net zero, the United States needs between 30 to 40 times more grid-scale batteries, which require hundreds of billions of dollars of investment. Unfortunately, batteries don't make enough money to justify this investment. By co-founder and I have been at the Center of the Power Universe for the last seven years, and our first-hand experience tells us that grid-scale batteries are the new bottleneck to the Green Energy Transition. But with rising renewables in the risk of rolling blackouts greater than ever before, battery-project development is falling quickly behind. Fortunately, Tara Climbing is creating a first-vits-kind, carbon-off-set project, tied to batteries that compensation for reducing emissions on the grid, and boost revenues by as much as 20 to 30 percent. Our goal is to build the pre-minute platform for all battery services required, and we are inviting you to join us on locking a pathway to a net zero future, and a more resilient grid. Thank you."
37,2023_Rice_RWsaDN2rlYM.mp3," If you look around you and think about the products that you rely on every day, they are likely made from plastic and rubber. Two materials that start as oil and once they are made, they can never go back. These are our deterrence sustainability in all of our lifetimes. My co-founder and I are PhD students at the University of Michigan and we've developed a chemical technology to take a food waste product and turn that into the next generation of high performance, fully recyclable and circular materials. The orange juice industry only uses about 30% of the massive and orange to make the juice. When you get in order to home you probably throw the rhyme in the garbage can. But at this scale, 70% of the orange is left untouched. We have developed this technology at Citroenmer to take the most abundant molecule in that rhyme and string it together to make these high performance materials. Tapping into the $6 billion market that is the footwear industry. we are both consumers and companies are lined for environmentally conscious high performance materials towards a quick manufacturing cycle. we are currently raising $500,000 for a scaled production of this material and excited to share more with you and hope you'll join in our excitement for the next generation of these sustainable materials that change the way that we live every day."
38,2023_Rice_nHY81KbPqdc.mp3," Hi everyone. My name is Vivevay from Magnify Bial Sciences. We enable nano imaging for scientists and clinicians to see cancer more clearly so we can treat cancer more effectively. We are already show value of our approach in a case study where we can accurately identify non-responders to cancer drugs. Currently there is no such test. And having solving this clinical need, we can actually save healthcare 740 million dollars just for your inner repair bladder cancer alone. You might be asked, why no one has done this? Our technology is a hundred times cheaper and faster than existing solutions and it based on years of research from colleague-manor university and MIT. Our technology can be easily deployed for highly predictive diagnostic tests, patients, stratification and clinical cohorts elections. And we are really working with our industry partners as well as clinical collaborators to evolve this 157 million dollar precision medicine market. Thank you. Thank you."
39,2023_Rice_EJ7vfgUV9os.mp3," Hi, my name is Jessica Tittle and I am the CEO of Biomputer and I am joined here today by my CSO Monica Schull and we make up the female founder team of Marine Biologists behind Biomputer. At Biomputer we are creating ocean-safe chemicals from the coral reef microbiome. Current chemicals in your products today typically come from petroleum and plants and have a really high environmental impact. But by utilizing biomanufacturing we are able to create a chemical platform using the microbes from the coral reef. Through this platform we are able to reduce our environmental impact and create valuable chemicals for your products. We are so excited to be here at Rice and we will be seeking a $500,000 investment to complete our product development and continue developing our IP. We hope you'll join us as we create clean chemistry from the coral reef microbiome. Thank you."
40,2023_Rice_YkRCEZPw4mg.mp3," When I was 13 years old, I weighed 220 pounds. I grew up thinking that cinnamon toast crunch was part of a pounds breakfast. I was wrong. Sugar did not love me as much as I love sugar. Going up in a food desert in rural Louisiana, I understood the issue facing everyday people and towns across this country. We lack access and awareness to sustainable, healthy snacking. And that's why I went on to found series. He first, ready to enjoy snack with 20 grams of plant protein and zero grams of sugar. Two years of innovative voovscience has allowed us to take peas and hemp and turn it into a nourishing crisp that's tiny, but packs as much nourishing ingredients as a meat protein with up to 85% less carbon emissions. Now, people can snacks sustainably. We compete in the $5 billion annual market, a $5 billion market for plant-based snacks in the United States. we are working to make people crunch consciously on healthy snacks."
